,x,y,Redshift,Halo_ID,Halo_SFR,Halo_Volume,Number_of_Subhalos,Mass,Age_Myr,Age_Log(yrs),Z,ccSNRate,IMF,ccSNe,Mean,Std,FWHM
980,4351.24676507573,20244.29577400659,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1797549.9,152.33987942246952,8.18281360751195,0.0352428,19.665602675436446,imf_chab100,II-other,13.47344071975514,5.686463745668124,13.390598813641073
981,4349.173007450515,20245.503615706933,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,2079033.9,39.67904624605056,7.598561224594656,0.02137096,151.55181718917277,imf_chab100,II-other,85.29492834679417,111.35848071105085,262.22918256257486
982,4352.751016458045,20246.976412878303,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1493694.8,113.02756893391886,8.05318438662999,0.02832613,7.2120772861408895,imf_chab100,II-other,5.2659787865542915,2.3840515697138045,5.614012424749567
983,4348.8347821704565,20245.132085968224,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1125376.1,123.01032412879609,8.08994156285407,0.027697546,3.2619413198721094,imf_chab100,II-other,5.249863824103665,2.3840515697138045,5.614012424749567
984,4350.431175888369,20245.204615678173,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1369909.2,16.46542099068604,7.216572839305108,0.025411826,48.448815633912005,imf_chab100,II-other,154.28397676120147,164.83346710877703,388.1531524396978
985,4351.132419767701,20248.613512045675,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1281686.8,16.343870702853813,7.213354917913474,0.021184254,201.63226884102266,imf_chab100,II-other,218.58848453442948,164.83346710877703,388.1531524396978
987,4351.446591827625,20245.212016668986,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1095567.8,155.9922633039852,8.193103059330689,0.03133514,12.825554286181783,imf_chab100,II-other,12.5739347692756,5.686463745668124,13.390598813641073
988,4348.9476472803235,20245.696041468014,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,2268494.2,65.56969754673236,7.8167031804014835,0.021416217,22.34181923138799,imf_chab100,II-other,17.992239888421814,28.20294873227714,66.41286900374641
989,4350.34421424634,20250.79088354224,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1227268.4,34.13928274014344,7.533254392429855,0.019710999,54.053721354667346,imf_chab100,II-other,151.113160374574,136.3899957918208,321.17389603226644
990,4352.08862778047,20245.422204808012,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1785229.8,17.43762673133853,7.241487376948626,0.025451798,219.28383515569533,imf_chab100,II-other,153.67597297446247,164.83346710877703,388.1531524396978
991,4351.85142602498,20250.445997370454,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1456351.0,134.44471637195443,8.128543739280827,0.025009872,10.767529500197377,imf_chab100,II-other,5.180960120558037,2.3840515697138045,5.614012424749567
992,4349.983415944309,20250.71539343597,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1128254.9,26.530122793905875,7.423739260106427,0.021978982,311.49201296001274,imf_chab100,II-other,207.49459821341765,109.96701519455428,258.9525316723594
993,4350.928522470861,20244.713189888327,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1814159.6,16.2225093467514,7.210118033053716,0.028482683,206.8162684697303,imf_chab100,II-other,107.57396263797142,164.83346710877703,388.1531524396978
994,4349.7636065172255,20244.582932450056,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1550004.6,48.92149022248881,7.68949967783167,0.026131362,101.16938665851386,imf_chab100,II-other,28.996614614109262,73.18304868776966,172.3329100064359
995,4349.563779765331,20245.058076060115,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1225927.1,61.583060080227625,7.78946126532291,0.022012852,23.824224265621996,imf_chab100,II-other,17.293887151286242,28.20294873227714,66.41286900374641
996,4350.2406003749875,20244.214363107672,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1516143.0,53.70785272037093,7.730037789308365,0.023590276,94.11966922775547,imf_chab100,II-other,46.201703165444115,73.18304868776966,172.3329100064359
997,4350.179172151257,20250.83676968527,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1983172.5,10.259314334578828,7.011118336345048,0.021309327,106.49770830080851,imf_chab100,II-other,314.05233843600627,126.4931751135297,297.8686643169498
999,4351.564637631058,20244.500041352974,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,905222.06,139.50723208225702,8.144596722104271,0.03478652,8.173746007036327,imf_chab100,II-other,5.431603336759835,2.3840515697138045,5.614012424749567
