id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume
38029.0,0.8885591,195704600938910.62,0.011908177871863676,8.557045171786348e-09,2622768928169.94,530135310.82,1.4955121664955555,4.54030766643736e-15
167182.0,46.316536,4.934403403043177e+16,0.047553811150619005,3.527668723876879e-08,50662184142891.64,10680030970.62,1.4955121664955555,9.38645104926674e-16
76318.0,2.366538,630248569244437.2,0.01823645398205319,1.2996576552274684e-08,4856672079755.763,1223049292.27,1.4955121664955555,3.7549280006094795e-15
254598.0,13.041386,1.3524611705944132e+16,0.009255579543832014,7.056320530546958e-09,9598528825372.36,902196905.33,1.4955121664955555,9.642706410763901e-16
11147.0,17.103376,1.193479975202772e+16,0.014906007006339256,1.0918620310687464e-08,10401467448472.232,1782331664.67,1.4955121664955555,1.4330676974361585e-15
174765.0,9.650736,6792271305718275.0,0.007954646164346,5.7560151620272916e-09,5598548638075.818,2351694096.93,1.4955121664955555,1.4208407711681426e-15
113523.0,9.281043,5195675577414410.0,0.0074295159798826475,5.633792938361674e-09,4159161284856.2773,514869286.55,1.4955121664955555,1.7863014850936177e-15
299921.0,2.4922268,5697419182484213.0,0.0011656784859609805,8.112031439076192e-10,2664829287014.827,28882688.54,1.4955121664955555,4.374308296749422e-16
104914.0,36.431026,3.796403079488023e+16,0.04631280391868956,3.563711722221453e-08,48261630462078.68,6737848829.99,1.4955121664955555,9.59619546112923e-16
153742.0,58.62643,3.5275523015090132e+16,0.0641710630742175,4.870001681335621e-08,38611728743799.68,6149122610.28,1.4955121664955555,1.6619577823104376e-15
192172.0,7.522065,6505083227542038.0,0.01840284464727493,1.3286939563111335e-08,15914783514108.15,2099339056.93,1.4955121664955555,1.156336473629136e-15
61861.0,28.50663,1.1248380767358446e+16,0.038867957884388245,2.9170510603674723e-08,15336838831291.205,2357033010.2,1.4955121664955555,2.534287431193926e-15
72856.0,0.62428355,493830244270686.44,0.0019170967576877694,1.332768623997005e-09,1516490960140.6157,27321717.36,1.4955121664955555,1.2641662944763006e-15
83424.0,13.411097,7131349570729224.0,0.017824399209759263,1.3263612020770906e-08,9478122606452.182,1686761260.73,1.4955121664955555,1.8805833127359417e-15
