_idx,x,y,mtl,age_sfs,mass_solar,id,initial_mass_solar,age_Myr,age_bin,halo_id,halo_SFR,redshift,halo_volume,number_of_subhalos,RandomRate
2461,16206.420281647917,4082.509017691523,0.07143621,0.24567565,1137886.1,109259613720,1484450.8,140.48401377811803,8.14762690699587,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2462,16206.63194998511,4081.9291500614886,0.061068464,0.24830426,1707930.9,109053158511,2191754.8,107.20246633872988,8.030204777007679,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2463,16206.399558873647,4082.6019001262,0.055758458,0.24709849,1191611.5,109234096607,1540516.4,122.48908710976103,8.088097397932147,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2464,16206.617148003488,4082.7273469204447,0.06763658,0.24805163,1383112.2,109274584104,1778335.8,110.40811033153997,8.043000976861132,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2465,16206.667474741002,4082.6340944362273,0.022106621,0.25240043,1026579.3,108867564221,1247647.9,55.022627010480996,7.7405413215847405,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.000026951145504559143
2466,16206.161246969537,4082.3898617394675,0.05444444,0.25138405,1496612.8,109468177892,1868904.1,68.00571769849162,7.832545428302016,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2467,16206.648232164895,4082.512348137388,0.057609525,0.24770294,843758.1,108830223927,1086818.0,114.83000703494328,8.060055391431455,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2468,16207.021242101764,4081.975406254057,0.03977805,0.24463655,1586064.0,109188865442,2068592.4,153.59605557879297,8.186380062945753,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2469,16206.315187578404,4082.6207726527678,0.04842678,0.24510111,1194689.0,108486910780,1560882.2,147.73711821949885,8.16948962335983,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2470,16206.45580640381,4082.6429756252,0.059545107,0.24341254,1084249.4,108776390484,1430278.1,169.00894136757793,8.227909681441357,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2471,16207.040484677871,4082.2758864809794,0.048728883,0.25138873,1392869.6,109310451078,1737625.4,67.94610785155264,7.832164584144213,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2472,16206.253019255591,4082.516418682334,0.018081056,0.2519057,1536086.4,109426467414,1873311.6,61.345173305929364,7.7877803977221225,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,7.966901552622148e-6
2473,16206.295945002295,4082.6329842876057,0.065166295,0.24615358,1327274.0,109219002713,1726285.5,134.44471637195443,8.128543739280827,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2474,16206.556459878839,4082.6958927094984,0.06938605,0.24121937,1117181.2,108938997447,1485864.4,196.53795727353264,8.293446437879417,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,9.859036224120484e-8
2475,16206.52389551927,4082.7736031130125,0.026808342,0.24867222,1542461.4,108810205996,1950536.5,102.53101623250372,8.010855261889494,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,3.4779014697366953e-7
2476,16206.301865794943,4082.426866693522,0.031423986,0.25268558,1290532.2,109072252494,1569265.4,51.3758462716547,7.710758988715421,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0000660913433424739
2477,16206.507613339487,4082.5523134877667,0.057813708,0.2512631,1307263.9,109486423403,1634870.6,69.54905228620723,7.842291216431949,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2478,16206.276702426187,4082.7003333039847,0.025033938,0.25429016,802336.3,109471012836,948978.6,30.8208107373793,7.488844058591976,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.00012342377134484236
2479,16206.470608385433,4082.524559772226,0.044506628,0.245562,924933.5,109249832374,1203011.8,141.91945178245558,8.15204192486424,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2480,16206.38031629754,4082.5549038345507,0.05529098,0.24550746,1255413.4,108689386862,1638175.0,142.60807230342598,8.15414410937006,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2481,16206.615667805327,4081.969485461408,0.03257891,0.2510911,985959.1,109297561076,1223153.9,71.74359654155849,7.855783144280306,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.000011257365951937945
